IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.37,100.0,9.0,Aktif,Menengah,Perempuan,Tidak,Ya
2.68,72.3,1.7,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.9,73.6,4.0,Aktif,Rendah,Laki-laki,Ya,Ya
3.14,72.5,4.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.66,73.3,2.3,Aktif,Rendah,Perempuan,Ya,Ya
3.39,72.4,7.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.93,94.3,,Aktif,Tinggi,Laki-laki,Tidak,Ya
2.99,97.0,5.0,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
2.55,73.2,0.0,Aktif,Tinggi,Perempuan,Ya,Tidak
2.99,70.0,3.6,Aktif,Menengah,Laki-laki,Tidak,Ya
2.87,85.7,7.5,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
3.15,73.4,0.9,Aktif,Menengah,Perempuan,Ya,Ya
2.63,87.6,6.6,Aktif,Menengah,Laki-laki,Tidak,Ya
3.23,82.4,5.9,Aktif,Rendah,Perempuan,Ya,Ya
3.69,61.8,7.1,Aktif,Menengah,Laki-laki,Ya,Tidak
2.95,98.6,7.0,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.18,100.0,2.6,Aktif,Rendah,Perempuan,Tidak,Ya
3.31,72.6,8.7,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.82,75.3,4.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
3.1,83.4,7.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.01,84.0,1.2,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.04,87.9,6.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.65,,5.3,Aktif,Tinggi,Laki-laki,Tidak,Tidak
,77.9,5.1,Aktif,Menengah,Laki-laki,Tidak,Ya
3.22,70.4,8.2,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
3.65,63.4,1.0,Aktif,Menengah,Laki-laki,Ya,Ya
3.43,71.2,0.8,Aktif,Menengah,Laki-laki,Ya,Tidak
3.97,79.6,9.4,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.65,100.0,5.5,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.39,73.8,5.3,Tidak Aktif,Menengah,Perempuan,Ya,Ya
3.08,82.7,9.9,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
3.99,79.8,3.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.64,94.3,10.3,Aktif,Menengah,Perempuan,Tidak,Ya
2.62,100.0,8.3,Aktif,Menengah,Perempuan,Tidak,Tidak
2.73,73.6,4.1,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.04,74.1,12.8,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.76,92.5,4.0,,Menengah,Perempuan,Tidak,Ya
2.66,88.2,9.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
3.07,100.0,9.4,,Rendah,Laki-laki,Ya,Ya
3.15,87.0,10.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.84,75.7,10.5,Aktif,Rendah,Perempuan,Ya,Ya
3.43,87.1,6.1,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.74,93.3,3.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.6,89.8,8.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
3.22,86.1,3.5,Aktif,Rendah,Perempuan,Ya,Ya
2.41,92.8,12.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.82,94.0,6.9,Aktif,Rendah,Perempuan,Ya,Ya
3.53,96.6,4.9,Aktif,Menengah,Perempuan,Tidak,Ya
2.79,,5.4,Aktif,Menengah,Perempuan,Tidak,Ya
2.23,78.0,2.2,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak
3.61,81.8,3.1,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.95,94.5,10.5,Aktif,Menengah,Perempuan,Tidak,Ya
3.56,70.2,3.2,Aktif,Tinggi,Perempuan,Tidak,Ya
2.28,84.4,4.2,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
2.73,75.3,6.6,Aktif,Rendah,Perempuan,Ya,Tidak
3.0,80.3,11.3,Aktif,Menengah,Perempuan,Tidak,Ya
3.02,95.3,6.9,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.8,82.3,9.5,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.28,80.6,4.2,Aktif,Menengah,Perempuan,Ya,Ya
2.52,63.7,0.4,Aktif,Tinggi,Perempuan,Tidak,Tidak
2.94,89.0,11.2,Aktif,Tinggi,Laki-laki,Tidak,Ya
3.05,87.7,6.5,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.23,100.0,3.6,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.32,76.3,10.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.49,82.6,5.3,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.31,83.0,6.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.57,98.9,14.7,Aktif,Menengah,Laki-laki,Ya,Ya
3.15,78.9,3.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.66,,7.7,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.7,87.3,6.2,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.05,82.2,8.9,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
3.53,74.6,8.6,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
3.03,82.3,6.5,Aktif,Menengah,Laki-laki,Ya,Ya
3.93,92.9,9.5,Tidak Aktif,Rendah,Perempuan,Ya,Ya
3.79,67.7,10.7,Aktif,Rendah,Laki-laki,Tidak,Ya
2.89,81.6,4.8,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
3.44,71.6,2.0,Aktif,Rendah,Perempuan,Tidak,Tidak
3.29,94.3,,Aktif,Tinggi,Perempuan,Tidak,Ya
3.62,61.7,1.1,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
2.57,73.3,12.6,Aktif,Tinggi,Perempuan,Tidak,Ya
3.31,84.5,2.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
3.48,98.8,5.9,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.21,79.2,5.0,Aktif,Menengah,Perempuan,Tidak,Tidak
2.47,73.3,7.1,Aktif,Menengah,Laki-laki,Tidak,Tidak
2.08,100.0,10.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Ya
2.88,62.6,8.9,Aktif,Rendah,Laki-laki,Tidak,Tidak
3.32,53.6,2.4,Tidak Aktif,Menengah,Perempuan,Ya,Tidak
3.68,85.3,7.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.03,74.0,7.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak
3.73,67.7,5.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
2.38,88.5,12.5,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.23,82.9,6.4,Tidak Aktif,Menengah,Perempuan,Ya,Tidak
2.98,73.2,8.0,Aktif,Menengah,Perempuan,Tidak,Ya
,64.6,7.0,Aktif,Menengah,Perempuan,Ya,Tidak
2.99,90.5,8.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
2.07,87.8,7.1,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
2.96,78.8,,Tidak Aktif,Rendah,Perempuan,Ya,Ya
2.41,100.0,6.0,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.3,67.2,3.6,Tidak Aktif,Tinggi,Laki-laki,Tidak,Ya
3.16,61.7,4.5,Tidak Aktif,Rendah,Laki-laki,Tidak,Ya
2.58,71.7,7.6,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.77,79.5,,Aktif,Rendah,Laki-laki,Tidak,Ya
2.52,82.9,4.9,,Tinggi,Perempuan,Tidak,Tidak
2.97,77.1,7.1,Aktif,Menengah,Laki-laki,Tidak,Ya
3.43,84.2,10.5,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.56,65.0,4.1,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak
3.23,97.3,15.5,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.76,79.0,8.6,Aktif,Rendah,Laki-laki,Tidak,Tidak
2.64,93.4,1.2,Aktif,Menengah,Perempuan,Tidak,Tidak
2.95,84.1,8.6,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.53,85.5,8.4,Aktif,Menengah,Laki-laki,Tidak,Ya
2.75,86.8,10.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak
2.46,85.4,9.1,Aktif,Tinggi,Perempuan,Tidak,Ya
3.88,87.7,5.5,Aktif,Menengah,Perempuan,Ya,Ya
3.02,95.9,4.1,Aktif,Rendah,Perempuan,Tidak,Ya
2.69,82.4,5.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak
3.1,88.5,3.9,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.95,78.9,3.0,Aktif,Rendah,Laki-laki,Ya,Tidak
2.9,97.3,8.6,Aktif,Menengah,Laki-laki,Tidak,Ya
3.28,71.9,9.9,,Rendah,Perempuan,Tidak,Ya
3.34,100.0,7.1,Aktif,Menengah,Laki-laki,Tidak,Tidak
2.76,79.5,1.6,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.74,62.8,5.8,Tidak Aktif,Rendah,Perempuan,Ya,Tidak
2.88,81.5,11.8,Aktif,Tinggi,Perempuan,Tidak,Ya
1.96,71.8,,Aktif,Rendah,Perempuan,Ya,Tidak
2.32,90.1,7.8,,Rendah,Laki-laki,Tidak,Ya
3.62,72.2,4.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.74,74.6,3.6,Tidak Aktif,Rendah,Laki-laki,Ya,Ya
2.89,57.3,6.0,Aktif,Rendah,Laki-laki,Ya,Tidak
3.26,74.6,4.8,Tidak Aktif,Menengah,Laki-laki,Ya,Ya
3.14,,5.5,Aktif,Tinggi,Laki-laki,Tidak,Tidak
4.0,61.0,4.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
3.5,89.1,,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
2.94,89.4,9.5,Aktif,Menengah,Laki-laki,Tidak,Ya
2.57,85.1,5.6,Aktif,Tinggi,Perempuan,Tidak,Ya
2.28,68.4,13.1,Aktif,Menengah,Laki-laki,Tidak,Tidak
3.09,79.4,3.3,Aktif,Rendah,Laki-laki,Tidak,Ya
2.66,80.0,7.9,Aktif,Rendah,Perempuan,Tidak,Ya
2.36,66.1,9.5,Aktif,Menengah,Perempuan,Tidak,Tidak
2.71,98.0,1.3,Tidak Aktif,Tinggi,Perempuan,Tidak,Ya
2.51,90.5,2.0,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak
3.76,77.3,1.7,Aktif,Menengah,Perempuan,Tidak,Ya
3.4,80.3,9.6,Tidak Aktif,Tinggi,Perempuan,Ya,Ya
3.0,82.5,3.6,Aktif,Tinggi,Perempuan,Tidak,Tidak
,55.5,12.2,,Tinggi,Perempuan,Tidak,Ya
3.03,77.0,6.3,Aktif,Menengah,Perempuan,Tidak,Ya
,71.8,6.3,Tidak Aktif,Menengah,Perempuan,Ya,Ya
,68.0,11.0,Tidak Aktif,Menengah,Perempuan,Tidak,Ya
3.24,76.6,11.1,Tidak Aktif,Menengah,Perempuan,Ya,Ya
2.53,100.0,12.0,Tidak Aktif,Rendah,Perempuan,Tidak,Ya
2.91,87.7,10.9,Aktif,Menengah,Laki-laki,Ya,Ya
2.61,73.1,7.5,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak
2.38,86.9,7.6,Aktif,Rendah,Laki-laki,Ya,Ya
